구분,QA
데이터 다루기,"7-4 마지막 문제 질문입니다!
# 확장 문법 - 반복문 + 제어문
score_over_90 = {k: v for k, v in score.items() if v &gt; 90}


위의 k : v for k는 딕셔너리라 그런 건데
x for x in a 이거랑 차이가 뭘까요...?안녕하세요 지현님

{k: v for k, v in score.items() if v > 90}
라는 딕셔너리와
[x for x in a if x > 90]
라는 리스트를 물어보신 것이 맞는지요?

확장문법이 리스트 말고 딕셔너리에서도 적용될 수 있단 것을 강사님께서 보여주려고 하신 겁니다.

딕셔너리 확장문법의 경우에는 score라는 딕셔너리 변수에 .items( )를 사용하였는데, 점수가 90보다 큰 key, value를 가져오는 것입니다. 점수는 v가 나타냅니다.
딕셔너리 구조 자체는 key : value로 이루어져 있습니다. 그래서 { k : v } 형태로 가져온 것이구요.

그 아래 리스트 확장문법의 경우에는 a라는 리스트 변수에서 점수가 90보다 큰 x를 가져오는 것입니다.
딕셔너리, 리스트라는 자료형에 차이가 있을 뿐, 거의 동일한 코드라고 생각하시면 될 것 같습니다.

혹시 답변드린 것이 질문 내용과 다른 것이라면 언제든 재문의 주세요.
감사합니다 : )"
데이터 다루기,"ctrl + Enter를 눌러서 코드를 실행하려고하는데 코드 셀 앞에 숫자가 아니라 [*] 이렇게 뜨면서 결과값이 안나옵니다 ㅠㅠ 이런 경우 어떻게해야하나요...?안녕하세요. 최선우 에이블러님.

코드 셀 앞에 [*]가 뜨며 결과값이 나오지 않는다는 문의를 주셨는데,

* 기호는 해당 셀을 실행 중이라는 의미이며 실행 완료 시 * 기호 대신 숫자(counter)가 표시됩니다.

그러나 * 표시만 유지되고 숫자가 표시되지 않는 경우
주피터랩 상단에 위치한 새로고침 기능을 이용해 다시 실행시켜보기 바랍니다.

그러나 같은 문제가 반복된다면
주피터랩을 종료 후 재실행해주세요.

감사합니다."
데이터 다루기,"if 문 내에 다시 if 문을 쓸 수 있는 것처럼
while 문 내에 while 문을 다시 쓰는 경우
break 명령을 사용하면 사용된 내부 while 문만 종료하나요 혹은 전체 while 문이 종료되나요?안녕하세요 유영찬 에이블러님.
i = 1
while i <= 9 : 
    j = 1
    while True :
        print(f""{i}*{j} = {i*j}"")
        j+=1
        if j > 10 :
            break;
    i+=1

간단하게 짠 구구단입니다.
코드를 실행시켜보시면 내부 while문은 무한루프 처리를 하고 break를 했음에도
9 단까지 나오니, 외부 while문은 break에 영향을 받지 않는 것을 확인할 수 있습니다.

감사합니다."
데이터 다루기,"# 리스트 만들기
fruits = ['apple', 'banana', 'cherry']

# 요소 출력
i = 0
while i &lt;len&gt;(fruits) :
    print(fruits[i])
    i = i + 1

위 코딩에서 마지막에 i = i+1 의 경우 while i &lt;len&gt;(fruits)을 써주었음에도 왜 필수적으로 써야하는지 궁금합니다. 
또한 
while i &lt;len&gt;(fruits) :
    i = i + 1
 print(fruits[i])
와 같은 형식으로 써주면 왜 에러가 나오는지도 궁금합니다

항상 자세한 답변 주셔서 감사합니다.안녕하세요 이휘재 에이블러님
while 문은 조건식이 참일때, 반복을 하는 구문입니다. 그 외에 fruits를 출력하거나 i를 증가시켜주는 역할은 하지 않습니다.
해당 코드는 fruits 리스트를 i를 0부터 하나씩 증가시키며 출력을 하는 구문입니다.
따라서 i=i+1은 리스트의 첫번째 순서인 fruits[0]부터 fruits[2]까지 출력을 시켜주기 위해 존재합니다.

또한 에러가 왜 발생하는지에 대해서도 질문을 주셨는데요.
이제 i가 2일때 반복문을 실행할 때 코드를 순차적으로 살펴보면
while i < len(fruits): 는 len(fruits)가 3이고 i가 2이므로 정상적으로 동작합니다.
i = i+1 , i가 3이 됩니다.
print(fruits[i]) 는 fruits[3]을 출력해야되는데, 보시다시피 fruits는 0, 1, 2만 존재합니다.
따라서 out of index err가 발생하게 됩니다.
감사합니다."
데이터 다루기,"파이썬을 하다보면 셀 좌측에 숫자가 표시되는데, 시행횟수에 따라 숫자가 점차 늘어나는 걸로 보입니다.

이 숫자가 의미하는 것이 시행횟수를 의미하는 건가요?

이 숫자가 많다면 실무나 평가 등에서 감점 요인이 되는 건지 궁금합니다.
또한, 이 숫자를 줄이거나 수정할 방법은 없는 건가요?안녕하세요 박재형 에이블러님:)

In[] 안에 숫자를 말씀하시는 것 같아요:)

안의 숫자는 셀의 실행이 몇번째로 실행이 됬다고 나타내 주는 것입니다.
숫자를 초기화하는  방법은 restart를 하거나 주피터를 다시 켜는 방법이 있습니다.

셀의 숫자는 중요하지 않습니다. 방법이 있다면 모든 코드를 하나의 창안에 다 작성하는 방법도 있겠지만
가독성이 떨어지고 변수를 바로 확인할 수 있는 jupyter의 장점을 이용하지 못할 것입니다.

실무에서는 jupyter만 이용하는 것이 아닙니다 . 파이썬 에디터마다 사용자에게 표현하는 방식이 각기 다릅니다. 코드는 길이보단 가독성과 효율성이 더 중요합니다 !! 

셀 좌측 숫자는 신경 쓰지 않으셔도 무방합니다. 
셀 숫자가 많을수록 연습을 많이 하셨다는 증거입니다 :) 

문의주신 질문에 도움이 되었으면 좋겠습니다:)
"
데이터 다루기,"입력받을 매개변수의 수를 지정하지 않고 사용하려면 *nums라고 했는데 그러면 5개 이런 식으로 지정하고서는 어떻게 구현을 해야할까요...?

어떻게 하면 좋을 것 같다고는 들었는데 정확한 구현 방법을 모르겠습니다...!안녕하세요 지현님

강사님께서 len( )을 이용하면 된다고 하셨는데요.
아래에 하나의 예시를 하나 보여드리겠습니다.

=====================================
def numbers(*nums) :
    if len(nums) < 6 :
        print(nums)
    else :
        print('입력 변수의 수가 너무 많습니다.')

numbers(1, 2, 3, 4, 5, 6)
numbers(1, 2, 3, 4, 5)
=====================================

참고가 되었으면 합니다.
감사합니다 : )"
데이터 다루기,"함수 say_hey를 만들어 보세요.
횟수를 받는 입력 매개변수 count(숫자)
입력받은 count만큼 'Hey! '를 출력
count에 값을 지정하여 함수의 결과를 확인하세요.
    say_hey(5)
    -----------------------
    Hey! Hey! Hey! Hey! Hey! 


혹시 이문제를 for문으로 해결할수 있을까요?안녕하세요 고선기 에이블러님
다음과 같이 함수를 만들 수 있을 것 같습니다.
def say_hey(count):
        for i in range(0,count):
               print(""Hey!"")
들여쓰기의 경우 답변할 수 있는 공간에서 tab을 지원하지않아 따로 설정해주시면 될 것 같습니다.
감사합니다."
데이터 다루기,"함수 say_hey를 만들어 보세요.
횟수를 받는 입력 매개변수 count(숫자)
입력받은 count만큼 'Hey! '를 출력
count에 값을 지정하여 함수의 결과를 확인하세요.
    say_hey(5)
    -----------------------
    Hey! Hey! Hey! Hey! Hey! 


출력문이 옆으로 Hey! Hey! 가아닌 아래로 나오는데 옆으로하는 방법은 없을까요?안녕하세요 고선기에이블러님
먼저 답변을 드리자면 for문을 사용하지 않고 간단하게 구현할 수 있는 방법은
def say_hey(count):
     print(""hey!""*count)
를 사용하여, 문자열에 *연산자를 사용하면 반복할 수 있는 특성을 이용하여 함수를 작성하는 방식이 있습니다.
또한 고선기 에이블러님이 질문주셨던 for문을 활용한 방식을 이용하자면,
def say_hey(count):
     printer = ''
     for i in range(0, count): 
          printer +=""hey!""
    print(printer)
로 해결할 수 있을 것 같습니다. for문의 경우 반복문이기 때문에, 미약한 차이지만 동작시간이 증가하기 때문에 *연산자를 이용한 방법을 추천드립니다. 또한 위의 함수는 저의 방식대로 구성한 것이므로 절대 정답이 아니고 다른 답, 더 좋은 답이 있을 수 있으니, 해당 내용을 참고하셔서 고선기님이 더 좋은 함수를 구성하실 수 있을 겁니다.
감사합니다."
데이터 다루기,"*nums 하고 프린트에서 *num을 안하고 
print(nums)하는 것 차이 설명 한 번만 다시 부탁드립니다...!안녕하세요 박지현 에이블러님.

def numbers(*nums) :
    print(type(nums))
    
numbers(2, 4, 6, 8, 10)

우선 매개변수에 * 특수 기호를 붙인다면
여러 개의 인자를 튜플로 한번에 받을 수 있습니다.

def numbers(*nums) :
    print(type(nums))
    print(nums)
    print(*nums)
    
numbers(2, 4, 6, 8.0, '10')

이 예제 코드를 실행해보시면
<class 'tuple'>
(2, 4, 6, 8.0, '10')
2 4 6 8.0 10
위와 같은 출력 값을 볼 수 있는데,
nums의 경우 가변인자인 튜플 그대로 출력하는 것을 볼 수 있고,
아래 *nums의 경우 그 안에 들어가 있는 세부적인 값을 출력하는 것을 볼 수 있습니다.

감사합니다.
"
데이터 다루기,"실습 6에 3번에서 else loud == 0: 이렇게는 왜 안 될까요??
elif는 되던데 else loud==0 이렇게는 안 되는 이유가 궁금합니다..!안녕하세요 박지현 에이블러님.

if문에서의 elif와 else의 차이에 대해 문의주셨는대요

if와 elif는 조건이 참일때 작동하게되고 else는 if나 elif외의 조건들에 대해 작동하게됩니다

만약 아래와 같은 코드가 있다고 할때 코드를 해석하게된다면

if loud == 1 :
    print('HELLO')
elif loud == 2 :
    print('HI')
else :
    print('hello')
-------------------------------------------
만약 loud가 1과 같다면 HELLO를 출력하라
그리고 만약 loud가 2와 같다면 HI를 출력하라
그외에는 hello를 출력하라

위와 같이 해석되게 됩니다

그래서 테스트 해보신 else loud == 0 : 같은 경우에는 작동이 안되는 부분이고 조건을 추가하기 위해서는 elif로 넣어 사용하게되는겁니다

다른 궁금하신 점이 있으시다면 다시 질문하시면 답변드리도록 하겠습니다 :)

감사합니다"
데이터 다루기,"a = [1, 2, 3, 4, 5, 6, 7, 8, 9]
b = {x for x in a if x % 2 == 0}        

b

여기서 {x for x in a if x % 2 == 0}   식을 쓰는 순서가 정해져 있는 것인지가 궁금합니다
우선 맨 앞의 x는 찾고자 하는 값이고 맨 앞에 고정되어 쓴다는 것은 암기?하려고 합니다.
뒤에 for 이후 부터 if 식이 뒤에 있고 하는 것이 뭔가 순서가 있을까요?안녕하세요 장민정 에이블러님.

먼저 결론부터 말씀드리면 문의 주신
{x for x in a if x % 2 == 0}
이 코드에서 식을 쓰는 순서는 정해져 있습니다.

차례대로 위 코드의 경우엔
1) 넣고자 하는 변수의 이름             x
2) 반복문                                                   for x in a
3) 반복문을 돌며 수행할 코드       
 3-1) 조건문                                              if x % 2 == 0
이렇게 되는 것입니다.

감사합니다."
데이터 다루기,"각 객체(?)에 어떤 메소드가 있는지,  메소드나 함수의 사용 방법은 어떻게 되는지 알 수 있는 코드가 있을까요?

예를 들어 re.comptile('a.e')  에서
re내부엔 어떤 메소드들이 있는지
comptile() 괄호 안은 어떤 변수를 쓸 수 있는지(형식 등)를 알 수 있는 방법을 알고싶습니다.안녕하세요. 심민수 에이블러님,

객체에 따른 메소드 확인방법에 대해서 주피터랩에서 아래와 같이 확인 가능합니다.
#1) 코드창에 list.에서 Tab을 누르시면 메소드,함수 확인이 가능합니다. 

#2) dir()은 내장 함수이며 () 내의 객체가 가진 변수와 메서드를 전부 보여줍니다.

메소드,함수 안에 어떤 변수를 쓸 수 있는지는 파이썬 공식 문서 링크 공유드립니다.
https://docs.python.org/3/reference/index.html

감사합니다."
데이터 다루기,"리스트
a = list(range(1, 50, 2))
b = list(range(1, 50, 4))
가 있을 때  리스트에서 a 랑 b를 합칠 때에는 a + b가 가능했는데
리스트 끼리는 '-' 부호가 안먹힌다고 알고 있습니다.
그래서 remove를 이용해서 요소 하나 하나씩을 빼고 있는데
혹시 한번에 빼는 방법이 있을까요?안녕하세요 권용선 에이블러님!

네 말씀해주신대로 리스트끼리 -부호는 사용이 불가합니다. 
하여 -연산이 만약 차집합을 구하고 싶으신 거라고 이해한다면 
먼저 set이라는 함수에 대해 이해가 조금 필요할 것 같습니다!
set()함수는 8장에서 배운 내장 함수 중에 하나로 집합 형태의 자료형을 나타냅니다.
a = list(range(1, 50, 2))
b = list(range(1, 50, 4))
differ_a = set(a) - set(b)
이러한 코드를 사용한다면 a와 b의 리스트를 set(a) 와 set(b)의 선언에서 두 리스트를
모두 set이라는 자료형으로 바꾸어줍니다.리스트들을 집합 형태의 자료형으로 바꾸어 주는 것 입니다.
이후 set(a) - set(b)이 코드는 a의 차집합을 구해주는 것으로 a에 해당하는 요소 중 b와 겹치는 요소가 있다면
제외하고 보여주는 것 입니다.
그러한 set을 differ_a에 담아서 저장할 수 있고 결과는 {3, 35, 7, 39, 11, 43, 15, 47, 19, 23, 27, 31}
다음과 같습니다. 
보시면 a의 요소 에서 a와 b에 공통적으로 존재하는 5,9등의 요소가 사라진 것을 확인할 수 있습니다.
새로운 함수의 등장으로 조금 어려우셨을 것 같습니다.
또는 for문을 두 개 쌓아 공통되는 요소를 제거 할 수 있습니다.
a = list(range(1, 50, 2))
b = list(range(1, 50, 4))
for x in a:
  for y in b:
    if x==y:
      a.remove(x)
print(a) 
을 실행하게 되면 x는 a리스트의 요소를, y는 b의 리스트의 요소를 탐색하여 
만약 서로 같은 요소값이 존재한다면 a.remove(x)를 통해 공통된 요소의 값을 a 리스트에서
제거하는 방식으로도 사용이 가능합니다. 그 결과는 [3, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47]
와 같습니다.
천천히 읽어보시고 이해가 안되시면 다시 질문 주세요! 
감사합니다!

"
데이터 다루기,"안녕하세요. 

Q1. for 또는 while을 써서 반복 시행을 할 때는 항상 구문의 처음부터 수행하나요?
구문의 중간부터 수행하는 방법도 있나요?

만약 1번 ~ 5번까지 여러 개의 if로 조건을 걸어두었다면,
1번부터 내려오면서 참/거짓을 판별하는 것과 비교했을 때
1번, 2번 조건이 무조건 참이라고 확신할 수 있는 경우 해당 구역을 건너뛰고
3번 부터 시행할 수 있는 방법이 있는지 궁금합니다.
그리고 이렇게 건너 뛸 수 있다면 구동이 더 가벼워지는 효과가 있는지도 궁금합니다.

-----

# 함수 만들기
def numbers1(*nums):
    print(nums)

# 함수 사용
numbers1(1, 2, 3)          #1
a1 = numbers1(1, 2, 3)     #2
print(a1)                  #3
a2 = list('HELP')          # 4

코드를 실행하면 결과가 3줄이 나오는데요
#1 은 함수를 실행하고, #3 은 변수를 출력하는 구문입니다.
#2 는 지금까지 #4 처럼 변수에 값을 할당하던 형태였고 따로 출력하는 값은 없었는데,
아무것도 출력하지 않는 #4 와는 다르게 느닷없이 함수가 실행되었습니다?

Q. #2 에서 함수가 실행된 것이 맞나요? 코드가 무슨 이유로 출력된 것인지 궁금합니다.
#3 에서 확인할 수 있듯이 함수에서 return으로 값을 반환하지 않았으니
변수 a1에 지정이 아니라 우항의 함수를 그냥 실행한 결과가 나오는 것으로 이해해도 될까요?
사실 왜 우항을 출력하는지도 이해가 가지는 않습니다.

감사합니다.안녕하세요 박희범 에이블러님.

답변이 좀 길어져서 텍스트 파일로 준비했습니다.

감사합니다."
데이터 다루기,"# while 문

# 리스트 만들기
fruits = ['apple', 'banana', 'cherry']

# 요소 출력
i = 0
while i &lt; len(fruits) :
    print(fruits[i])
    i = i + 1

# 결과
apple
banana
cherry

이 코드에서 i = i + 1 을 왜 쓰는지 의미를 잘 모르겠습니다.ㅠㅠㅠ안녕하세요 한희선 에이블러님.

먼저 위 코드를 for문으로 바꾼다면 아래와 같습니다.

fruits = ['apple', 'banana', 'cherry']

for i in fruits:
    print(i)

for문의 경우 별도의 i = i +1 처럼 i 값을 증가시켜주는 
구문이 없는데요, while문은 별도로 이를 추가했습니다.

원래는 python이 특이한 것이지 다른 언어(C, Java)의 경우 for문 또한
i = i + 1를 추가해줘야 합니다.

while과 for문은 반복문입니다.
근데 언제부터 언제까지 반복해야 할까요?
또 현재 지금 몇 번째 반복을 수행하고 있을까요?

while문에서는 이를 수행하는 것이 변수 i 입니다.
기재해주신 코드는 보면,
len(fruits) 는 3이죠.
또 i = 0으로 시작했습니다.

i가 0, 1, 2 으로 변화할 때 저 while문은 정상적으로 동작합니다.
만약 위 while문에서 i = i + 1을 없이 코드를 실행한다면
i값이 변화지 않으니 리스트에 다음 값을 선택하지 못할 것이고,
while문이 끝나지 않아서 영원히 apple만 나오는 상황이 발생합니다.

따라서 우리는 총 몇 번 돌리겠다! 를 의미하기 위해 변수 i를 사용하는 것입니다.
그 이후, for문과 다르게 while 문은 i 값을 조정해야 하니 i = i + 1을 진행하는 것 입니다.

감사합니다."
데이터 다루기,"# 1 ~ 100 정수 중에서 3의 배수만 가져와 출력
a = list(range(1, 101))
for x in a:
    if x % 3 == 0:
        print(x)

b = list(range(3, 101, 3))
b안녕하세요 채주영 에이블러님:)

a 코드와 b 코드의 차이에 대해 문의 주셨습니다:)

결론적으로 a와 b가 의미하는 것은 3의 배수로 같습니다.

차이점은 a는 1~100을 포함한 리스트에서 for문과 if문을 통해 3의 배수를 하나씩
출력하는 것이고 b같은 경우는 3~100까지 3의 배수를 포함한 리스트 입니다.
그러므로 출력하는 방식이 다른 것이죠:)

문의해주신 질문에 도움이 되었으면 좋겠습니다"
데이터 다루기,"다음 모양을 출력하시오.
힌트: 각 줄마다 출력해야 하는 ' '(공백)과 '*'의 수의 규칙을 생각해 봅니다.
            *
          **
        ***
      ****
    *****


이렇게 오른쪽부터 *을 채워가려면 어떤식으로 해야하나요?안녕하세요 고선기 에이블러님.

위 모양의 규칙을 찾으시면 쉽게 해결 가능한 문제입니다.
실습에서 바로 위 문제에서 에이블러님께선
*                        #별 1개
**                      #별 2개
***                    #별 3개
****                  #별 4개
*****                #별 5개
위 모양을 출력하는 문제를 해결하셨습니다.
위 모양의 규칙은 줄이 바뀌면서 별 문자가 하나씩 늘어나며 출력되는 것 입니다.
그 규칙을 토대로 반복문 안에 print를 작성하여 해결하셨을겁니다.

똑같이 질문 주신 문제도 규칙을 찾아야 합니다.
질문 주신 모양을 잘 살펴보면 별이 하나씩 늘어나지만
윗 문제와는 다르게 오른쪽 정렬이 되어있는 것처럼 보입니다.
하지만 강사님께서 오른쪽 정렬 상태로 출력되는 것을 가르쳐주신 적이 없기 때문에,
주어진 힌트를 잘 사용해야 합니다. '(공백)'을 활용해야 하는 것입니다.
편의를 위해 모양에 각각 괄호를 씌워주겠습니다.
(  )(  )(  )(  )(*)        #공백 4개, 별 1개
(  )(  )(  )(*)(*)        #공백 3개, 별 2개
(  )(  )(*)(*)(*)        #공백 2개, 별 3개
(  )(*)(*)(*)(*)        #공백 1개, 별 4개
(*)(*)(*)(*)(*)        #공백 0개, 별 5개

해당 모양을 보면, 규칙을 찾으실 수 있을 것이라 생각됩니다.
제가 직접 문제를 풀어드릴 순 없기에...
나머지는 에이블러님께서 직접 해결해보시길 바랍니다!
규칙만 찾으신다면 금방 해결하실 수 있을겁니다.
만약 후에도 모르시겠다면 다시 질문 주시면 답변드리겠습니다.

감사합니다."
데이터 다루기,"정규 표현식을 배우며 강사님께서 complie함수와 sub함수를 사용하시는 걸 보았는데, 해당 두 함수의 정의와 기능에 대한 자세한 언급은 해주지 않으셔서 정의와 기능이 무엇인지 궁금해 이론 해결요청 드리게 되었습니다.안녕하세요 이휘재 에이블러님:)

정규 표현식에 관해서 문의 주셨습니다.

compile 메서드는 import re를 통해 모듈을 가져온 뒤 p=re.complile(' 정규표현식')를
통해서 정규표현식을 컴파일하고, 컴파일된 패턴 객체 p를 이용하여 작업을 수행합니다.
쉽게 설명드리면 문자열과 매치를 위한 정규표현식을 변수에 컴파일해서 넣어준다 라고 
생각하시면 될 것 같습니다.

sub 같은 경우는 문자열에서 배운 replace 메소드와 같은 기능입니다.
정규식에 해당되는 내용을 치환하고싶은 문자열로 바꾸는 것이죠
구조는 이렇습니다.
re.sub(정규식, new, string)

문의 주신 질문에 도움이 되었으면 좋겠습니다



"
데이터 다루기,"다음 모양을 출력하시오.
힌트: 각 줄마다 출력해야 하는 ' '(공백)과 '*'의 수의 규칙을 생각해 봅니다.
        *
      **
    ***
  ****
*****


이 문제를 
for i in range(1,6):
       a = print(' '* (6-i), '*'* i)
       a

이렇게 풀었는데 혹시 다른방법이 있을까요? rstring이나 replace를 사용하여 풀고싶었는데 방법을 못찾았습니다 ㅠ안녕하세요 고선기 에이블러님
말씀해주신 질문은 replace를 통해 해결할 수 있을 것으로 보입니다.
a= ""******""    
for i in range(5,-1,-1):
    print(a.replace('*',' ',i))

감사합니다."
데이터 다루기,"강의 소리가 안 들려요 이어폰을 꼽아도 그래요안녕하세요 김재연 에이블러님,

강사님 목소리가 들리지 않으시면,
4분할 화면의 좌측 상단에 보이는 ""[오디오 설정] 클릭 > 컴퓨터 오디오 나가기 > 컴퓨터 오디오 참여"" 를 
클릭하여 오디오를 재 연결 해 주세요.

감사합니다.
오늘도 힘내세요:)"
데이터 다루기,"1) 1부터 10까지 짝수의 합
s = 0
for i in range(1, 11):
    if i % 2 == 0:
        s = s + i
print('합 =', s)

-&gt; 여기서 s=0와 s = s + i 를 써야하는 원리를 이해하지 못했습니다. 


2) 1부터 100까지 7의 배수 -&gt; s_new 리스트로 만들기
s = 0
s_new = []
for i in range(1, 101):
    if i % 7 == 0:
        s_new += [i]
      # s_new.append(i)

print(s_new)

-&gt; 여기서는 s_new = [] 가 결과값을 리스트로 정리하기 위해서 쓰는 건가요? 

위의 문제에서 s = 0, s = s + i 를 제외하면 오류가 나는데 밑에서는 오류가 나지 않습니다. 무슨차이인지 궁금합니다.

3)# 리스트 만들기
member = ['홍길동', '한사랑', '일지매', '박여인', '강우동']

# 루프 돌면서 이름 출력
for x in member:
    print(x,end = '')

-&gt; end = '' 의 의미는 끝의 공백을 없앤다는 건가요?안녕하세요 이예진 에이블러님!
1)
s=0은 s라는 변수에는 숫자를 넣겠다는 것이고 합을 구하는 것이기 때문에 0에서 시작하도록 초기화 하는 것입니다.
s = s + i  는
위의 if i %2 == 0 :
부분에서 2의 배수인 i만을 대상으로
s = s + i 를 시킨 것이기에
s에는 짝수만 담기는 것입니다.

2)
s_new = [] 는 이 변수를 리스트 변수로 사용하겠다고 미리 컴퓨터에게 언지 해주는 것입니다.
자료 형에는 여러 형태가 존재하기에 직접적으로 언지 해주지 않으면 선택지가 많아 해당 변수가 어떤 자료형인지 알 수 없어 혼동하기 때문에
보통 이를 변수를 초기화 한다고 합니다. 

3)
print(x, end = '')
end = '' 는 끝에 ''공백값만 넣는다는것입니다
기본 print(x) 에는 개행문자 Enter가 포함되어있기에 인자를 그대로 가로 출력하기 위해서는
end = '' 를 넣어주어야합니다. end= ' ' 이렇게 하면 인자 사이가 ' ' 스페이스 하나로 띄워집니다

도움이 되셨기를 바라며 언제든지 질문해주세요 :D"
데이터 다루기,"files = Path.cwd().glob('*') 
print(files)

files = Path.cwd().glob('*') 
print(list(files))

해당 두 코드의 결과가 나타내는 값이 무엇을 의미하는지 잘 모르겠습니다ㅜ
또한 차이가 무엇인지 궁금합니다안녕하세요 이휘재 에이블러님!
네 먼저 Path.cwd().glob('*') 라는 코드는 현재 작업하고 계신 파일의 경로에서 있는  모든 파일과 디렉터리의 리스트를 반환하는 코드입니다. 하여 해당 작업하고 계신 폴더 안에 있는 모든 파일을 보여줍니다.
따라서 위의 print(files)의 경우는  컴퓨터에서 실행하고 있는 메모리 주소를 보여주게 되고 
print(list(files))는 실행 중인 폴더 안에 있는 파일들을 의미하게 됩니다.

감사합니다!

"
데이터 다루기,"[심화] 함수 even을 만들어 보세요.
입력 매개변수로 리스트를 입력받아.
입력받은 리스트 값들 중 짝수로만 구성된 새로운 리스트를 반환
힌트: 함수 처리 코드 내 짝수를 저장할 빈 리스트 result 생성
    even([2, 3, 6, 8, 11])
    ------------------------
    [2, 6, 8]

제가 한 코드
result=[]
def even(*nums):
    for x in nums:
        if x % 2 ==0:
            return result.append(x)

even([2, 3, 6, 8, 11])

어떤식으로 코딩해야 할까요,,?안녕하세요 상재님

코드를 아래와 같이 변경해보시기 바랍니다.
그러면 even( [2, 3, 6, 8, 11] ) 코드가 정상 작동 될 거에요.

===================================
def even(nums) :
    result = []

    for x in nums :
        if x % 2 == 0 :
            result.append(x)

    return result
===================================

return은 함수 블록에 있어야 합니다.
감사합니다 : )
"
데이터 다루기,"# while문으로 3의 배수 구하기
i = 1
b = []
while i &lt;= 100:
    if i % 3 == 0:
        b.append(i)  
    i = i + 1  &lt;-------질문!
print(b)

while이 범위를 정해줘야 무한루프를 타지 않는다는 건 이해했는데, 'i = i + 1' 로 범위가 정해지는 이유가 궁금합니다!안녕하세요 이수진 에이블러님

while문에서 사용된 'i = i + 1' 대해 문의 주셨는대요

작성된 코드중 while i <= 100 부분은 변수 i가 100보다 작거나 같으면 계속 반복하라라고 되어있고 변수 i의 초기 설정값은 1로 되어있는 상황입니다

이 상태에서 변수 i의 값에 변화를 주지 않으면 while i <= 100 이 조건에서 변수 i의 값은 변화 없이 계속 초기 설정된 1로 100보다 작은 상태가되어 무한루프에 빠지게됩니다

이 부분에서 변수 i의 값을 조금씩 변화를 주어 최종적으로는 100 초과가 되게하여 while i <= 100의 조건이 거짓되어 무한루프를 멈추게 만들 코드가 필요하게 됩니다

그래서 해당 코드에서는 while문이 1회 실행이될 때 마다 변수 i의 초기값 1에 1씩 더하는 i = i + 1 코드를 넣어 최종적으로 변수 i의 값이 101이 되는 시점에 종료가 되어 무한루프에 빠지지 않게 됩니다

다른 궁금하신 점이 있으시다면 다시 질문하시면 답변 드리도록 하겠습니다 :)

감사합니다"
데이터 다루기,"10-3마지막에서 
while True면 무한루프지만,여기서는 result를 지정해줘서 탈출 가능!
이라고 하셨는데요,
그러면 while True:
                     True = ~~~~~
이런 식으로 쓰면 무한 루프가 될 수밖에 없나요...?
아니면 애초부터 True는 안에 못 쓸까요...?안녕하세요 박지현 에이블러님
while문의 경우 while 조건문: 의 형태로 되어있습니다.
이때 조건문이 참이게 되면 while문이 동작을 하게 됩니다.
조건문을 조정하여, 참이었다가 거짓이 되도록 만들 수도 있게 되는 것이고요.
(예를 들어, 5번 반복하겠다고 하면 num = 5 변수를 선언한 뒤 while num--: 로 반복문을 설정하면 5번 반복하게 됩니다.)
이 때, 파이썬에서 제공하는 True와 False가 있는데요.
이것은 무조건적인 참, 거짓을 의미합니다. 
이것은 키워드로 변수명으로 사용할 수 없습니다. (이 외의 키워드로는 저희가 배웠던 break등이 있습니다.)
따라서 박지현님이 질문주신 True=~~~~는 에러가 발생할 것입니다.
또한 말씀하셨던 대로 while True:를 쓰게 된다면 break문을 쓰지 않는 이상 무한루프가 될것입니다.
감사합니다."
데이터 다루기,"문자열을 작성할 땐 '' 혹은 """"을 사용하는데
만약 문자열 중간에 '과 ""을 동시에 포함하는 문자열을 작성하고 싶으면 어떤 방법이 있을까요?
예를 들어서:
Nick Fury said, ""He's Steve Rogers, also known as 'Captain America'.""안녕하세요 유영찬 에이블러님.

위와 같은 경우에선 작은 따옴표나 큰 따옴표 앞에 백슬래시(\)를 붙여주면 됩니다.
키보드 엔터키 바로 위에있는 \가 백슬래시입니다.
예를 들어주신 문장을 출력하고자 한다면,
print('Nick Fury said, \""He\'s Steve Rogers, also known as \'Captain America\'.\""')
이렇게 쓰면
Nick Fury said, ""He's Steve Rogers, also known as 'Captain America'.""
이 결과를 출력할 수 있습니다.

감사합니다."
